"nm0000001","Fred Astaire"
"nm0001696","Julian Sands"
"nm0001697","Chris Sarandon"
"nm0001698","John Savage"
"nm0001699","Telly Savalas"
"nm0001700","Nancy Savoca"
"nm0001701","Devon Sawa"
"nm0001702","Roy Scheider"
"nm0001703","Maximilian Schell"
"nm0001704","Vincent Schiavelli"
"nm0001705","Rob Schneider"
"nm0001706","Michael Schoeffling"
"nm0001707","Paul Schrader"
"nm0001708","Joel Schumacher"
"nm0001709","Til Schweiger"
"nm0001710","David Schwimmer"
"nm0001711","Annabella Sciorra"
"nm0001712","Tracy Scoggins"
"nm0001713","Izabella Scorupco"
"nm0001714","Campbell Scott"
"nm0001715","George C. Scott"
"nm0001716","Tony Scott"
"nm0001717","Kyle Secor"
"nm0001718","Kyra Sedgwick"
"nm0001719","George Segal"
"nm0001720","Ivan Sergei"
"nm0001721","Chloë Sevigny"
"nm0001722","Rufus Sewell"
"nm0001723","Tom Shadyac"
"nm0001724","Tony Shalhoub"
"nm0001725","Omar Sharif"
"nm0001726","Helen Shaver"
"nm0001727","Robert Shaw"
"nm0001728","Wallace Shawn"
"nm0001729","Craig Sheffer"
"nm0001730","Deborah Shelton"
"nm0001731","Sam Shepard"
"nm0001732","Cybill Shepherd"
"nm0001733","Nicollette Sheridan"
"nm0001734","Armin Shimerman"
"nm0001735","Talia Shire"
"nm0001736","Pauly Shore"
"nm0001737","Martin Short"
"nm0001738","Jonathan Silverman"
"nm0001739","Jean Simmons"
"nm0001740","O.J. Simpson"
"nm0001741","Bryan Singer"
"nm0001742","Lori Singer"
"nm0001743","Marc Singer"
"nm0001744","Tom Sizemore"
"nm0001745","Stellan Skarsgård"
"nm0001746","Ione Skye"
"nm0001747","Charles Martin Smith"
"nm0001748","Kurtwood Smith"
"nm0001749","Maggie Smith"
"nm0001750","Madolyn Smith Osborne"
"nm0001751","Jimmy Smits"
"nm0001752","Steven Soderbergh"
"nm0001753","P.J. Soles"
"nm0001754","Todd Solondz"
"nm0001755","Suzanne Somers"
"nm0001756","Barry Sonnenfeld"
"nm0001757","Kevin Sorbo"
"nm0001758","Timothy Spall"
"nm0001759","Vincent Spano"
"nm0001760","Tori Spelling"
"nm0001761","Jerry Springer"
"nm0001762","Jill St. John"
"nm0001763","Nick Stahl"
"nm0001764","John Stamos"
"nm0001765","Harry Dean Stanton"
"nm0001766","Barbara Stanwyck"
"nm0001767","Imelda Staunton"
"nm0001768","Rod Steiger"
"nm0001769","Howard Stern"
"nm0001770","Fisher Stevens"
"nm0001771","Stella Stevens"
"nm0001772","Patrick Stewart"
"nm0001773","David Ogden Stiers"
"nm0001774","Ben Stiller"
"nm0001775","Whit Stillman"
"nm0001776","Sting"
"nm0001777","Dean Stockwell"
"nm0001778","Matt Stone"
"nm0001779","Tom Stoppard"
"nm0001780","Peter Stormare"
"nm0001781","Julie Strain"
"nm0001782","Susan Strasberg"
"nm0001783","Sally Struthers"
"nm0001784","Gloria Stuart"
"nm0001785","Kristy Swanson"
"nm0001786","George Takei"
"nm0001787","Jeffrey Tambor"
"nm0001788","Jessica Tandy"
"nm0001789","Andrei Tarkovsky"
"nm0001790","Sharon Tate"
"nm0001791","Robert Taylor"
"nm0001792","Rod Taylor"
"nm0001793","Heather Thomas"
"nm0001794","Henry Thomas"
"nm0001795","Jonathan Taylor Thomas"
"nm0001796","Richard Thomas"
"nm0001797","Rachel Ticotin"
"nm0001798","Kevin Tighe"
"nm0001799","John Toll"
"nm0001800","Rip Torn"
"nm0001801","Robert Towne"
"nm0001802","Nancy Travis"
"nm0001803","Danny Trejo"
"nm0001804","Stanley Tucci"
"nm0001805","Lana Turner"
"nm0001806","John Turturro"
"nm0001807","Cicely Tyson"
"nm0001808","Tracey Ullman"
"nm0001809","Jay Underwood"
"nm0001810","Robert Urich"
"nm0001811","Peter Ustinov"
"nm0001812","Lee Van Cleef"
"nm0001813","Dick Van Dyke"
"nm0001814","Gus Van Sant"
"nm0001815","Jim Varney"
"nm0001816","Robert Vaughn"
"nm0001817","Reginald VelJohnson"
"nm0001818","Jesse Ventura"
"nm0001819","Petra Verkaik"
"nm0001820","Abe Vigoda"
"nm0001821","Jan-Michael Vincent"
"nm0001822","Robert Wagner"
"nm0001823","Tom Waits"
"nm0001824","Ally Walker"
"nm0001825","Andrew Kevin Walker"
"nm0001826","M. Emmet Walsh"
"nm0001827","Ray Walston"
"nm0001828","Melora Walters"
"nm0001829","Rachel Ward"
"nm0001830","Sophie Ward"
"nm0001831","David Warner"
"nm0001832","Sam Waterston"
"nm0001833","Emily Watson"
"nm0001834","Damon Wayans"
"nm0001835","Carl Weathers"
"nm0001836","Steven Weber"
"nm0001837","Peter Weir"
"nm0001838","Rachel Weisz"
"nm0001839","Tuesday Weld"
"nm0001840","Ming-Na Wen"
"nm0001841","George Wendt"
"nm0001842","Adam West"
"nm0001843","James Whale"
"nm0001844","Frank Whaley"
"nm0001845","Forest Whitaker"
"nm0001846","Vanna White"
"nm0001847","Richard Widmark"
"nm0001848","Dianne Wiest"
"nm0001849","Kathleen Wilhoite"
"nm0001850","Billy Dee Williams"
"nm0001851","JoBeth Williams"
"nm0001852","Treat Williams"
"nm0001853","Vanessa Williams"
"nm0001854","Rita Wilson"
"nm0001855","Thomas F. Wilson"
"nm0001856","Oprah Winfrey"
"nm0001857","Henry Winkler"
"nm0001858","Mare Winningham"
"nm0001859","Shelley Winters"
"nm0001860","Alicia Witt"
"nm0001861","Katarina Witt"
"nm0001862","Mary Woronov"
"nm0001863","Kari Wuhrer"
"nm0001864","Noah Wyle"
"nm0001865","Amy Yasbeck"
"nm0001866","Bolo Yeung"
"nm0001867","Amy Yip"
"nm0001868","Michael York"
"nm0001870","Robert Young"
"nm0001871","Pia Zadora"
"nm0001872","Steve Zahn"
"nm0001873","Steven Zaillian"
"nm0001874","Franco Zeffirelli"
"nm0001875","Anthony Zerbe"
"nm0001876","Catherine Zeta-Jones"
"nm0001877","Hans Zimmer"
"nm0001878","David Zucker"
"nm0001879","Daphne Zuniga"
"nm0001880","Edward Zwick"
"nm0001881","Maryam d'Abo"
"nm0001882","Olivia d'Abo"
"nm0001883","Jenna von Oÿ"
"nm0001884","Max von Sydow"
"nm0001885","Lars von Trier"
"nm0001886","Howard Ross"
"nm0001887","Paul Brickman"
"nm0001888","Robert Douglas"
"nm0001889","Charles Hawtrey"
"nm0001890","Hugh Herbert"
"nm0001891","Anthony Higgins"
"nm0001893","John Archer"
"nm0001895","Glenn Miller"
"nm0001896","John W. Brown"
"nm0001897","John M. Davis"
"nm0001898","Bryan Adams"
"nm0001899","Remi Adefarasin"
"nm0001900","Danny Aiello III"
"nm0001901","Chantal Akerman"
"nm0001902","Edward Albert"
"nm0001903","Norma Aleandro"
"nm0001904","Corey Allen"
"nm0001905","Yves Allégret"
"nm0001906","Kirk Alyn"
"nm0001907","Eric Ambler"
"nm0001908","Gilbert M. 'Broncho Billy' Anderson"
"nm0001909","Björn Andrésen"
"nm0001910","Kenneth Anger"
"nm0001911","Philip Anglim"
"nm0001912","Paul Anka"
"nm0001913","Little Oral Annie"
"nm0001914","Adam Ant"
"nm0001915","Emile Ardolino"
"nm0001916","Arletty"
"nm0001917","Pedro Armendáriz Jr."
"nm0001918","Louis Armstrong"
"nm0001919","Peggy Ashcroft"
"nm0001920","Isaac Asimov"
"nm0001921","Paul Attanasio"
"nm0001922","Jean-Pierre Aumont"
"nm0001923","Margaret Avery"
"nm0001924","Hoyt Axton"
"nm0001925","Johann Sebastian Bach"
"nm0001926","Joan Baez"
"nm0001927","Josephine Baker"
"nm0001928","Roy Ward Baker"
"nm0001929","Josiane Balasko"
"nm0001930","Russell Banks"
"nm0001931","Binnie Barnes"
"nm0001932","Richard Barthelmess"
"nm0001933","Geoffrey Bayldon"
"nm0001934","Kabir Bedi"
"nm0001935","Noah Beery"
"nm0001936","Roxanne Blaze"
"nm0001937","Marco Beltrami"
"nm0001938","Richard Belzer"
"nm0001939","Maurice Benard"
"nm0001940","Peter Benchley"
"nm0001941","Iris Berben"
"nm0001942","Luca Bercovici"
"nm0001943","Marisa Berenson"
"nm0001944","Edgar Bergen"
"nm0001945","Claude Berri"
"nm0001946","Chuck Berry"
"nm0001947","Turhan Bey"
"nm0001948","Charles Bickford"
"nm0001949","Andrew Birkin"
"nm0001950","Steve Bisley"
"nm0001951","Björk"
"nm0001952","Rubén Blades"
"nm0001953","Moritz Bleibtreu"
"nm0001954","Claire Bloom"
"nm0001955","Ann Blyth"
"nm0001957","Lloyd Bochner"
"nm0001958","Dirk Bogarde"
"nm0001959","Corinne Bohrer"
"nm0001960","Romane Bohringer"
"nm0001961","Ray Bolger"
"nm0001962","Lizzie Borden"
"nm0001963","Jesse Borrego"
"nm0001965","Élodie Bouchez"
"nm0001966","Clara Bow"
"nm0001967","Peter Boyle"
"nm0001968","Elizabeth Bracco"
"nm0001969","Ray Bradbury"
"nm0001970","Klaus Maria Brandauer"
"nm0001971","Ewen Bremner"
"nm0001972","Richard Briers"
"nm0001973","Christie Brinkley"
"nm0001974","Blair Brown"
"nm0001975","Roscoe Lee Browne"
"nm0001976","Horst Buchholz"
"nm0001977","Charles Bukowski"
"nm0001978","Emma Bunton"
"nm0001979","Tom Burlinson"
"nm0001980","Carter Burwell"
"nm0001981","Spring Byington"
"nm0001982","Sebastian Cabot"
"nm0001983","Rory Calhoun"
"nm0001984","Naomi Campbell"
"nm0001985","Christy Canyon"
"nm0001986","Truman Capote"
"nm0001987","Tantoo Cardinal"
"nm0001988","Marc Caro"
"nm0001989","Leslie Caron"
"nm0001990","Elpidia Carrillo"
"nm0001991","Leo G. Carroll"
"nm0001992","Johnny Carson"
"nm0001993","Vincent Cassel"
"nm0001994","Michael Caton-Jones"
"nm0001995","George Chakiris"
"nm0001996","Jeff Chandler"
"nm0001997","Patricia Charbonneau"
"nm0001998","Cyd Charisse"
"nm0001999","Maury Chaykin"
"nm0002000","Leslie Cheung"
"nm0002001","Maurice Chevalier"
"nm0002002","Shin'ichi Chiba"
"nm0002003","David Chokachi"
"nm0002004","Sarita Choudhury"
"nm0002005","Agatha Christie"
"nm0002006","Thomas Haden Church"
"nm0002007","Tom Clancy"
"nm0002008","Eric Clapton"
"nm0002009","Arthur C. Clarke"
"nm0002010","Christian Clavier"
"nm0002011","Lee J. Cobb"
"nm0002012","Randall 'Tex' Cobb"
"nm0002013","Charles Coburn"
"nm0002014","Iron Eyes Cody"
"nm0002015","Phil Collins"
"nm0002016","William Conrad"
"nm0002017","Richard Conte"
"nm0002018","Tom Conti"
"nm0002019","Kevin Corcoran"
"nm0002020","Costa-Gavras"
"nm0002021","Noël Coward"
"nm0002022","Jeanne Crain"
"nm0002023","Matt Craven"
"nm0002024","Broderick Crawford"
"nm0002025","Hume Cronyn"
"nm0002026","Mary Crosby"
"nm0002027","Ben Cross"
"nm0002028","Sheryl Crow"
"nm0002029","Maria Grazia Cucinotta"
"nm0002030","George Cukor"
"nm0002031","Michael Curtiz"
"nm0002032","Roger Daltrey"
"nm0002033","Tyne Daly"
"nm0002034","Jane Darwell"
"nm0002035","Sammy Davis Jr."
"nm0002037","Cliff De Young"
"nm0002038","Gloria DeHaven"
"nm0002039","Ruby Dee"
"nm0002040","Vanessa del Rio"
"nm0002041","Dean Devlin"
"nm0002042","Charles Dickens"
"nm0002043","Madhuri Dixit"
"nm0002044","Roger Donaldson"
"nm0002045","Stanley Donen"
"nm0002046","Brian Donlevy"
"nm0002047","Diana Dors"
"nm0002048","Melvyn Douglas"
"nm0002049","Robert Downey Sr."
"nm0002050","Irene Dunne"
"nm0002051","Jimmy Durante"
"nm0002052","Deanna Durbin"
"nm0002053","Dan Duryea"
"nm0002054","Sheena Easton"
"nm0002055","Alison Eastwood"
"nm0002056","Christine Ebersole"
"nm0002057","Richard Edson"
"nm0002058","Samantha Eggar"
"nm0002059","Lisa Eichhorn"
"nm0002060","Lisa Eilbacher"
"nm0002061","Maurice Elvey"
"nm0002062","Kathryn Erbe"
"nm0002063","Leif Erickson"
"nm0002064","Giancarlo Esposito"
"nm0002065","Gloria Estefan"
"nm0002066","Ramon Estevez"
"nm0002067","Linda Evans"
"nm0002068","Frances Farmer"
"nm0002069","Mimsy Farmer"
"nm0002070","Richard Farnsworth"
"nm0002071","Will Ferrell"
"nm0002072","Mel Ferrer"
"nm0002073","Lou Ferrigno"
"nm0002075","Peter Finch"
"nm0002076","Jason Flemyng"
"nm0002077","Dexter Fletcher"
"nm0002078","Frederic Forrest"
"nm0002079","Steve Forrest"
"nm0002080","Bob Fosse"
"nm0002081","Edward Fox"
"nm0002082","James Franciscus"
"nm0002083","Carl Franklin"
"nm0002084","Brenda Fricker"
"nm0002085","Gert Fröbe"
"nm0002086","Lucio Fulci"
"nm0002087","Samuel Fuller"
"nm0002088","Annette Funicello"
"nm0002089","Sidney J. Furie"
"nm0002090","Zach Galligan"
"nm0002091","Michael Gambon"
"nm0002092","John Garfield"
"nm0002093","Greer Garson"
"nm0002094","Vittorio Gassman"
"nm0002095","Will Geer"
"nm0002096","Judy Geeson"
"nm0002097","Bob Geldof"
"nm0002098","Laura Gemser"
"nm0002099","Henry Gibson"
"nm0002100","Marie Gillain"
"nm0002101","Robin Givens"
"nm0002102","Sharon Gless"
"nm0002103","Julian Glover"
"nm0002104","Paulette Goddard"
"nm0002105","Judith Godrèche"
"nm0002106","Ruth Gordon"
"nm0002107","Betty Grable"
"nm0002108","Gloria Grahame"
"nm0002109","Faye Grant"
"nm0002110","Rodney A. Grant"
"nm0002111","Karen Grassle"
"nm0002113","Sydney Greenstreet"
"nm0002114","Kim Greist"
"nm0002115","Wayne Gretzky"
"nm0002116","Paul Guilfoyle"
"nm0002117","Paul Guilfoyle"
"nm0002118","Alan Hale"
"nm0002119","Arsenio Hall"
"nm0002120","Lasse Hallström"
"nm0002121","Margaret Hamilton"
"nm0002122","Harry Hamlin"
"nm0002123","Adam Hann-Byrd"
"nm0002124","Melora Hardin"
"nm0002125","Tonya Harding"
"nm0002126","Dorian Harewood"
"nm0002127","Mariska Hargitay"
"nm0002128","Tess Harper"
"nm0002129","Gregory Harrison"
"nm0002130","Kathryn Harrold"
"nm0002131","Laurence Harvey"
"nm0002132","Amy Heckerling"
"nm0002133","Ernest Hemingway"
"nm0002134","Paul Henreid"
"nm0002135","Pamela Hensley"
"nm0002136","Bernard Herrmann"
"nm0002137","Arthur Hiller"
"nm0002138","Gregory Hines"
"nm0002139","Judd Hirsch"
"nm0002140","Agnieszka Holland"
"nm0002141","Celeste Holm"
"nm0002142","Sandrine Holt"
"nm0002143","Edward Everett Horton"
"nm0002144","John Houseman"
"nm0002145","Trevor Howard"
"nm0002146","James Wong Howe"
"nm0002147","Tab Hunter"
"nm0002148","Mary Beth Hurt"
"nm0002149","Betty Hutton"
"nm0002150","Billy Idol"
"nm0002152","Jörg Widmer"
"nm0002153","Jack Cardiff"
"nm0002154","Alfred Abel"
"nm0002155","Edward M. Abroms"
"nm0002156","Tengiz Abuladze"
"nm0002157","Herbert Achternbusch"
"nm0002158","Edvin Adolphson"
"nm0002159","Alejandro Agresti"
"nm0002160","Moustapha Akkad"
"nm0002161","Hans Albers"
"nm0002162","Henri Alekan"
"nm0002163","Nusrat Fateh Ali Khan"
"nm0002164","Irving Allen"
"nm0002165","Marc Allégret"
"nm0002166","John A. Alonzo"
"nm0002167","Gianni Amelio"
"nm0002168","Willeke van Ammelrooy"
"nm0002169","Tori Amos"
"nm0002170","Ashok Amritraj"
"nm0002171","Franco Amurri"
"nm0002172","Mukul Anand"
"nm0002173","Laurie Anderson"
"nm0002174","Yves Angelo"
"nm0002175","Ken Annakin"
"nm0002177","Oscar Apfel"
"nm0002178","Alexandre Arcady"
"nm0002179","George Archainbaud"
"nm0002180","Francesca Archibugi"
"nm0002181","Imanol Arias"
"nm0002183","George Arliss"
"nm0002184","Vic Armstrong"
"nm0002185","Malcolm Arnold"
"nm0002186","Luciana Arrighi"
"nm0002187","Giorgos Arvanitis"
"nm0002188","Dorothy Arzner"
"nm0002189","Giuliano Carnimeo"
"nm0002190","Anthony Asquith"
"nm0002191","Jacques Audiard"
"nm0002192","Michel Audiard"
"nm0002193","Claude Autant-Lara"
"nm0002194","Pupi Avati"
"nm0002195","Hy Averback"
"nm0002196","Gabriel Axel"
"nm0002197","William Axt"
"nm0002198","Charles Aznavour"
"nm0002199","Hector Babenco"
"nm0002200","Richard Walden"
"nm0002201","John Debney"
"nm0002202","Roy Webb"
"nm0002203","Loren Miller"
"nm0002205","Branislav Zivkovic"
"nm0002206","Kevin Brownlow"
"nm0002207","Richard Franklin"
"nm0002208","Michael T. Andreas"
"nm0002209","John McDermott"
"nm0002210","Frank DeCaro"
"nm0002211","Christopher DeFaria"
"nm0002212","Anders Bohman"
"nm0002213","Anders Bohman"
"nm0002216","Yves Robert"
"nm0002217","Mychael Danna"
"nm0002218","Claude Miller"
"nm0002219","Alexander Scherer"
"nm0002222","Christopher Bradley"
"nm0002223","Vera Anderson"
"nm0002224","James Moll"
"nm0002225","Axel Sand"
"nm0002226","Misha Segal"
"nm0002227","John Frizzell"
"nm0002228","Nicholas Musuraca"
"nm0002230","Carlos Gallardo"
"nm0002231","Gian Maria Volontè"
"nm0002233","Erich von Stroheim"
"nm0002234","Scott Robertson Price"
"nm0002235","Mike Hagerty"
"nm0002236","Eric M. Klein"
"nm0002237","John David Allen"
"nm0002238","John A. Kuri"
"nm0002239","Prince"
"nm0002240","Katt Shea"
"nm0002242","Anthony Valentine"
"nm0002243","Sam Douglas"
"nm0002244","Patrick Robert Smith"
"nm0002245","Tzi Ma"
"nm0002246","Harry Van Gorkum"
"nm0002247","Alan Natale"
"nm0002248","Gerard Kelly"
"nm0002252","David A. Armstrong"
"nm0002253","John Carroll Lynch"
"nm0002254","King Hu"
"nm0002255","Sergei Kozlov"
"nm0002257","Håkan Holmberg"
"nm0002259","Danny Nowak"
"nm0002261","Alexander Kiening"
"nm0002262","J.P. Manoux"
"nm0002265","John B. Josselyn"
"nm0002269","Edmon Ryan"
"nm0002270","Rex Ingram"
"nm0002271","Rex Ingram"
"nm0002272","Glenn M. Benest"
"nm0002275","Mark Parry"
"nm0002276","Reinier Selen"
"nm0002278","Simon Marshall"
"nm0002279","Chuck McClelland"
"nm0002282","Jeff Marsh"
"nm0002283","Rodney Taylor"
"nm0002284","Saeed Shahram"
"nm0002285","Pat O'Brien"
"nm0002286","Michael W. Abbott"
"nm0002288","Elliott Goldkind"
"nm0002289","Mikhail Kozlovsky"
"nm0002290","Loren Avedon"
"nm0002291","Joanna Jimenez"
"nm0002294","Timm Zemanek"
"nm0002295","Karin Thayer"
"nm0002296","Folmer Wiesinger"
"nm0002297","Oswald Schwander"
"nm0002298","Roger Sword"
"nm0002299","Carlo Varini"
"nm0002300","Robert E. Collins"
"nm0002301","Carl Davis"
"nm0002302","James Bernard"
"nm0002303","Trevor Jones"
"nm0002304","Laurence Rosenthal"
"nm0002305","Patrick Williams"
"nm0002306","Boris Paval Conen"
"nm0002310","David Trulli"
"nm0002311","Montagu Love"
"nm0002312","Obie Benz"
"nm0002315","Roger Wielgus"
"nm0002316","Alice D.G. Miller"
"nm0002317","Alice Duer Miller"
"nm0002318","John Foster"
"nm0002320","Fred Murphy"
"nm0002321","Fred V. Murphy"
"nm0002323","Stephen McNutt"
"nm0002326","Al Sapienza"
"nm0002327","Brett Lewis"
"nm0002332","Stephen Lang"
"nm0002333","Robert Estrin"
"nm0002335","Brahm Wenger"
"nm0002336","Declan Quinn"
"nm0002337","Roger Christian"
"nm0002338","Jack Clayton"
"nm0002339","Allen Coulter"
"nm0002340","Stuart Gordon"
"nm0002342","Richard Whelan"
"nm0002343","Adrian G. Griffiths"
"nm0002344","Tom Judson"
"nm0002346","Harry Marker"
"nm0002347","Kate O'Toole"
"nm0002348","Ray Preziosi"
"nm0002350","Jim Meskimen"
"nm0002352","Raul daSilva"
"nm0002353","Thomas Newman"
"nm0002354","John Williams"
"nm0002355","Charles Van Enger"
"nm0002356","Gregory Avellone"
"nm0002357","JD Roberto"
"nm0002359","Katy Wallin"
"nm0002360","Matthias Maaß"
"nm0002364","Dante Basco"
"nm0002365","Dion Basco"
"nm0002366","Christopher Young"
"nm0002368","Tom Flynn"
"nm0002369","John Williams"
"nm0002370","J.A.C. Redford"
"nm0002371","Karen Arbeeny"
"nm0002372","Paul M. Gordon"
"nm0002373","Janice Keuhnelian"
"nm0002374","Robert de Vico"
"nm0002376","David Hare"
"nm0002377","Stephen Semel"
"nm0002379","Hans Moser"
"nm0002380","Giorgio Moroder"
"nm0002382","Paul Chart"
"nm0002384","Sam Bozzo"
"nm0002385","Linda Moran"
"nm0002387","Andrew Cohen"
"nm0002388","Patrick Doody"
"nm0002389","Nigel Plaskitt"
"nm0002391","Dwayne Adway"
"nm0002392","Brad Kersch"
"nm0002393","Tara Howie"
"nm0002394","Chris H. Ullrich"
"nm0002396","Scott Shaw"
"nm0002397","Andrew Z. Davis"
"nm0002399","Alik Sakharov"
"nm0002400","Suresh Jindal"
"nm0002401","David Max Steinberg"
"nm0002402","Mark Allen"
"nm0002406","Harry Jay Knowles"
"nm0002408","Todd R. Baker"
"nm0002409","Paul Blomdahl"
"nm0002411","Mani Kaul"
"nm0002412","Michael Fallavollita"
"nm0002413","David Jackson"
"nm0002414","Paul Chihara"
"nm0002415","Colin Hoult"
"nm0002416","John O'Hagan"
"nm0002417","Daniel Pyne"
"nm0002418","Colin Brunton"
"nm0002420","Barry Stone"
"nm0002423","Eric Van Haren Noman"
"nm0002425","Stephanie Carroll"
"nm0002426","Anthony Bennett"
"nm0002427","Rob Merilees"
"nm0002428","Nick Davis"
"nm0002429","Lloyd A. Silverman"
"nm0002430","Keith Ogier"
"nm0002431","Nicholas Tabarrok"
"nm0002433","Scott Smith"
"nm0002434","Cam Cronin"
"nm0002435","Volkan Gücer"
"nm0002436","Shannon Elizabeth"
"nm0002437","Michael Kevin Walker"
"nm0002438","Burnie Burns"
"nm0002439","Guy Camara"
"nm0002442","Fredrik Klasson"
"nm0002443","Franz Hohler"
"nm0002448","Stephen McPherson"
"nm0002451","Amy R. Baird"
"nm0002455","Neil P. White"
"nm0002456","Melissa Lintinger"
"nm0002457","David Brady"
"nm0002458","Richard G. Owen"
"nm0002459","T.C. Christensen"
"nm0002461","Mike Cheda"
"nm0002463","Guillermo Fernández Groizard"
"nm0002464","Karen F. McCarthy"
"nm0002465","Tyler Tharpe"
"nm0002466","Ryan B. Smith"
"nm0002470","M. David Mullen"
"nm0002471","Jeanne Slater"
"nm0002472","Scott Shiffman"
"nm0002475","Barry Dignam"
"nm0002478","Ernst Gossner"
"nm0002479","Steven J. Brandman"
"nm0002484","David Glanzer"
"nm0002485","William Preston Robertson"
"nm0002487","Jackson Rose"
"nm0002489","Karl Anton"
"nm0002490","Bob Marley"
"nm0002491","Michael A. Martinez"
"nm0002492","John Bowker"
"nm0002493","Simon Bowles"
"nm0002495","Paul Eppleston"
"nm0002496","Christoph Kanter"
"nm0002498","Matthew L. Weiss"
"nm0002499","John Lvoff"
"nm0002500","Tom McArdle"
"nm0002502","Yvann Thibaudeau"
"nm0002503","Harry Carey"
"nm0002504","Herbert Beerbohm Tree"
"nm0002506","Jessica Landaw"
"nm0002507","Timothy Bird"
"nm0002508","John Hays"
"nm0002510","David Avallone"
"nm0002511","Scott Schneid"
"nm0002512","Deborah Peart"
"nm0002514","Michael Marino"
"nm0002515","Sabine El Gemayel"
"nm0002517","Lee Purcell"
"nm0002519","Kate Eales"
"nm0002520","Jeff Mazzola"
"nm0002521","Markus Ziegler"
"nm0002526","Robert Zappia"
"nm0002528","Thomas A. Ohanian"
"nm0002529","Brian A. Kates"
"nm0002530","Kelly Wagner"
"nm0002531","Pascal Maeder"
"nm0002532","Nick O'Hagan"
"nm0002534","Alex Erkiletian"
"nm0002535","Jasper Randall"
"nm0002536","Emmy Rossum"
"nm0002537","Miles Davis"
"nm0002538","David Mercy"
"nm0002540","John Jabaley"
"nm0002541","Terry Morse Jr."
"nm0002542","Terry O. Morse"
"nm0002545","Preston Sturges"
"nm0002546","Mena Suvari"
"nm0002547","Mark Bedrosian"
"nm0002548","Ruby Yang"
"nm0002549","Marcelo Itzkoff"
"nm0002551","Bill Davis"
"nm0002553","Alexis Magagni-Seely"
"nm0002554","Claudette Nevins"
"nm0002555","Konstantin Seitz"
"nm0002556","Billy Maddox"
"nm0002557","Vanja Cernjul"
"nm0002558","Ken Brooker"
"nm0002559","Peter De Kock"
"nm0002560","Adam Nordén"
"nm0002561","Richard Candib"
"nm0002562","Maciek Wszelaki"
"nm0002564","Marc Stekelenburg"
"nm0002565","Laine Megaw"
"nm0002567","Patricia Kruijer"
"nm0002568","Robert De Grasse"
"nm0002569","Carl Koch"
"nm0002570","Melissa Reneé Martin"
"nm0002572","Christopher Alender"
"nm0002573","Bill Corcoran"
"nm0002574","Gerard DiNardi"
"nm0002576","Walter Fasano"
"nm0002581","Nanci Roberts"
"nm0002582","Christopher Rouse"
"nm0002585","Stephen White"
"nm0002588","Glenn Saxson"
"nm0002590","Harry Grey"
"nm0002591","Carl Drews"
"nm0002592","David Fickas"
"nm0002593","Rick Johnson"
"nm0002595","Renato Lori"
"nm0002597","Astrid Devi"
"nm0002598","Robert Benedetti"
"nm0002599","Ricki Maslar"
"nm0002601","Gary S. Lipsky"
"nm0002602","Armin Hofmann"
"nm0002603","Ian B. Wile"
"nm0002604","Robert Blanche"
"nm0002605","Michael A. Levine"
"nm0002606","David Price"
"nm0002609","Su Whitaker"
"nm0002610","Chris Chomyn"
"nm0002611","Claus Drexel"
"nm0002614","Peter Levy"
"nm0002615","Siegmund Lubin"
"nm0002616","Anita Loos"
"nm0002619","Ernest H. Roth"
"nm0002620","Dorian Ramírez"
"nm0002621","Tucker Dansie"
"nm0002622","Paul Maslak"
"nm0002623","Donald D. Coleman"
"nm0002625","Alison E. McBryde"
"nm0002626","Lee Holdridge"
"nm0002627","Monty Berman"
"nm0002628","Félix de Pomés"
"nm0002631","Patrick McIntire"
"nm0002637","Steven Warren Hill"
"nm0002640","Norman Orenstein"
"nm0002641","Erik MacArthur"
"nm0002642","Warwick Young"
"nm0002643","Robert A. Harris"
"nm0002644","Brian Berdan"
"nm0002645","Paolo Genovese"
"nm0002647","Barrie Hemsley"
"nm0002651","Gary Rosen"
"nm0002652","Gary Rosen"
"nm0002653","Joe Johnston"
"nm0002654","Bill Schwarz"
"nm0002655","Tracy Granger"
"nm0002656","Benedikt Brydern"
"nm0002657","Gary Ross"
"nm0002658","Michael Gibbs"
"nm0002659","Les Weldon"
"nm0002661","Chris Angel"
"nm0002662","Orestes Matacena"
"nm0002663","Diane Ladd"
"nm0002668","George 'Buck' Flower"
"nm0002669","Lori L. Eschler"
"nm0002670","Trevor Black"
"nm0002672","Joseph Conlan"
"nm0002674","C. Davis Smith"
"nm0002675","Robert Kuhn"
"nm0002676","Robert Kuhn"
"nm0002677","Nathalie Alonso Casale"
"nm0002678","Lincoln Stalmaster"
"nm0002679","Lynn Stalmaster"
"nm0002680","Jessica Gallant"
"nm0002681","Jim Denault"
"nm0002682","Richard Anselmo"
"nm0002684","Michael Galbraith"
"nm0002685","Roger Neill"
"nm0002686","Michael Stone"
"nm0002688","Mitch Davis"
"nm0002689","Dana MacDuff"
"nm0002690","Danica DeCosto"
"nm0002691","Yoram Astrakhan"
"nm0002692","Joshua Tunick"
"nm0002694","Leland L. Jones"
"nm0002695","Amit Khanna"
"nm0002698","Carl James"
"nm0002699","Xavier Koller"
"nm0002700","Malcolm D. Lee"
"nm0002701","Paulette Rubinstein"
"nm0002702","Giancarlo Zagni"
"nm0002704","Bill D'Elia"
"nm0002705","Elfriede Gaeng"
"nm0002706","David L. Bertman"
